Date,Time_s,Temp_C,pH ,pH_mV,Rate_mL_h,Volume_mL,Sample_mass_g,Key,Normality
2019/05/12,0.000000,21.7,8.193,-63.6,1.000000,1.026350,23.070000,20190501_post,0.107000
2019/05/12,9.999631,21.7,8.191,-63.5,0.000000,0.000000,23.070000,20190501_post,0.107000
2019/05/12,19.998465,21.7,8.188,-63.3,5.000000,0.012670,23.070000,20190501_post,0.107000
2019/05/12,30.001046,21.7,8.159,-61.7,5.000000,0.027650,23.070000,20190501_post,0.107000
2019/05/12,39.999738,21.7,8.119,-59.4,5.000000,0.042620,23.070000,20190501_post,0.107000
2019/05/12,50.003757,21.7,8.047,-55.3,5.000000,0.055290,23.070000,20190501_post,0.107000
2019/05/12,60.001874,21.7,7.961,-50.4,5.000000,0.069110,23.070000,20190501_post,0.107000
2019/05/12,69.999557,21.7,7.855,-44.3,5.000000,0.084090,23.070000,20190501_post,0.107000
2019/05/12,79.997554,21.7,7.693,-35.1,5.000000,0.097910,23.070000,20190501_post,0.107000
2019/05/12,90.001313,21.7,7.520,-25.2,5.000000,0.110580,23.070000,20190501_post,0.107000
2019/05/12,99.996635,21.7,7.327,-14.2,5.000000,0.125560,23.070000,20190501_post,0.107000
2019/05/12,110.001245,21.7,7.182,-5.9,5.000000,0.139380,23.070000,20190501_post,0.107000
2019/05/12,120.000359,21.7,7.052,1.5,5.000000,0.152050,23.070000,20190501_post,0.107000
2019/05/12,129.998110,21.7,6.942,7.9,5.000000,0.167030,23.070000,20190501_post,0.107000
2019/05/12,139.999161,21.7,6.894,10.7,5.000000,0.182000,23.070000,20190501_post,0.107000
2019/05/12,149.998878,21.7,6.770,17.9,5.000000,0.194670,23.070000,20190501_post,0.107000
2019/05/12,159.997307,21.7,6.702,21.9,5.000000,0.208500,23.070000,20190501_post,0.107000
2019/05/12,170.001088,21.7,6.628,26.2,5.000000,0.223470,23.070000,20190501_post,0.107000
2019/05/12,180.002807,21.7,6.548,30.9,5.000000,0.237290,23.070000,20190501_post,0.107000
2019/05/12,189.998870,21.8,6.485,34.6,5.000000,0.251120,23.070000,20190501_post,0.107000
2019/05/12,199.999534,21.8,6.440,37.2,5.000000,0.266090,23.070000,20190501_post,0.107000
2019/05/12,209.999173,21.8,6.391,40.1,5.000000,0.279910,23.070000,20190501_post,0.107000
2019/05/12,220.000955,21.8,6.348,42.6,5.000000,0.292580,23.070000,20190501_post,0.107000
2019/05/12,229.999497,21.8,6.316,44.5,5.000000,0.306410,23.070000,20190501_post,0.107000
2019/05/12,240.003409,21.8,6.257,47.9,5.000000,0.321380,23.070000,20190501_post,0.107000
2019/05/12,249.998784,21.8,6.218,50.2,5.000000,0.334050,23.070000,20190501_post,0.107000
2019/05/12,259.996673,21.8,6.174,52.8,5.000000,0.347880,23.070000,20190501_post,0.107000
2019/05/12,270.000674,21.8,6.133,55.2,5.000000,0.362850,23.070000,20190501_post,0.107000
2019/05/12,280.000252,21.8,6.097,57.3,5.000000,0.376670,23.070000,20190501_post,0.107000
2019/05/12,289.998666,21.8,6.052,59.9,5.000000,0.389350,23.070000,20190501_post,0.107000
2019/05/12,300.001938,21.8,6.015,62.1,5.000000,0.404320,23.070000,20190501_post,0.107000
2019/05/12,309.999621,21.8,5.980,64.1,5.000000,0.418140,23.070000,20190501_post,0.107000
2019/05/12,319.998988,21.8,5.948,66.0,5.000000,0.430810,23.070000,20190501_post,0.107000
2019/05/12,329.999457,21.8,5.897,69.0,5.000000,0.444640,23.070000,20190501_post,0.107000
2019/05/12,339.998489,21.8,5.866,70.8,5.000000,0.459610,23.070000,20190501_post,0.107000
2019/05/12,350.001220,21.8,5.832,72.8,5.000000,0.472280,23.070000,20190501_post,0.107000
2019/05/12,359.999119,21.8,5.791,75.2,5.000000,0.486110,23.070000,20190501_post,0.107000
2019/05/12,370.003292,21.8,5.751,77.5,5.000000,0.501080,23.070000,20190501_post,0.107000
2019/05/12,380.000348,21.8,5.702,80.4,5.000000,0.514900,23.070000,20190501_post,0.107000
2019/05/12,390.000151,21.8,5.667,82.4,5.000000,0.527570,23.070000,20190501_post,0.107000
2019/05/12,399.999655,21.8,5.620,85.2,5.000000,0.542550,23.070000,20190501_post,0.107000
