Date,Time_s,Temp_C,pH ,pH_mV,Rate_mL_h,Volume_mL,Sample_mass_g,Key,Normality
2019/05/12,0.000000,22.1,8.021,-53.9,1.000000,0.785600,22.030000,20190503_pre,0.107000
2019/05/12,10.001442,22.1,8.018,-53.7,0.000000,0.000000,22.030000,20190503_pre,0.107000
2019/05/12,19.998835,22.1,8.007,-53.1,5.000000,0.013820,22.030000,20190503_pre,0.107000
2019/05/12,30.000030,22.1,7.965,-50.7,5.000000,0.028800,22.030000,20190503_pre,0.107000
2019/05/12,39.999623,22.1,7.887,-46.2,5.000000,0.042620,22.030000,20190503_pre,0.107000
2019/05/12,49.999077,22.1,7.755,-38.7,5.000000,0.055290,22.030000,20190503_pre,0.107000
2019/05/12,59.999365,22.1,7.568,-28.0,5.000000,0.070270,22.030000,20190503_pre,0.107000
2019/05/12,69.998418,22.1,7.323,-14.0,5.000000,0.084090,22.030000,20190503_pre,0.107000
2019/05/12,79.999570,22.1,7.094,-0.9,5.000000,0.096760,22.030000,20190503_pre,0.107000
2019/05/12,89.999147,22.1,6.928,8.7,5.000000,0.110580,22.030000,20190503_pre,0.107000
2019/05/12,99.999533,22.1,6.800,16.2,5.000000,0.125560,22.030000,20190503_pre,0.107000
2019/05/12,109.999084,22.1,6.692,22.5,5.000000,0.138230,22.030000,20190503_pre,0.107000
2019/05/12,119.999211,22.1,6.597,28.1,5.000000,0.152050,22.030000,20190503_pre,0.107000
2019/05/12,130.000409,22.1,6.508,33.3,5.000000,0.167030,22.030000,20190503_pre,0.107000
2019/05/12,140.000734,22.1,6.434,37.6,5.000000,0.180850,22.030000,20190503_pre,0.107000
2019/05/12,149.998642,22.1,6.364,41.7,5.000000,0.193520,22.030000,20190503_pre,0.107000
2019/05/12,159.999918,22.1,6.299,45.5,5.000000,0.208500,22.030000,20190503_pre,0.107000
2019/05/12,170.000872,22.1,6.236,49.2,5.000000,0.222320,22.030000,20190503_pre,0.107000
2019/05/12,179.999346,22.1,6.178,52.6,5.000000,0.234990,22.030000,20190503_pre,0.107000
