Date,Time_s,Temp_C,pH ,pH_mV,ch_2,Rate_mL_h,Volume_mL,Setpoint_pH,Mass_of_NaHCO3_g,Mass_of_Na2CO3_in_titrant_g,Mass_of_CaCl2_in_titrant_g,Mass_of_Seed_g,Mass_of_Solution_g,Key,Designation
02/05/2019,279.998019,21.9,7.716,-38.9,39.5,0.1,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,299.997991,21.9,7.715,-38.8,39.6,0.1,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,319.998466,21.9,7.713,-38.7,39.6,0.1,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,339.998751,21.9,7.713,-38.7,39.6,0.1,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,359.998429,21.9,7.713,-38.7,39.6,0.1,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,379.99896,21.9,7.713,-38.7,39.7,0.1,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,399.9982,21.8,7.713,-38.7,39.7,0.1,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,419.999388,21.8,7.713,-38.7,39.8,0.1,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,439.999377,21.8,7.713,-38.7,39.7,0.114,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,459.999239,21.8,7.711,-38.6,39.8,0.128,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,479.998832,21.8,7.713,-38.7,39.8,0.146,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,499.998531,21.8,7.711,-38.6,39.8,0.16,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,519.998354,21.8,7.711,-38.6,39.8,0.178,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,539.997798,21.8,7.711,-38.6,39.9,0.196,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,560.000502,21.8,7.711,-38.6,39.9,0.214,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,579.998843,21.8,7.711,-38.6,39.9,0.232,0,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,599.997799,21.8,7.711,-38.6,39.9,0.25,0.0023,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,619.999871,21.8,7.711,-38.6,40,0.268,0.00346,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,639.998405,21.8,7.711,-38.6,40,0.286,0.00461,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,659.998262,21.8,7.711,-38.6,40,0.304,0.00576,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,679.997281,21.8,7.711,-38.6,40,0.322,0.00691,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,699.997884,21.8,7.711,-38.6,40,0.34,0.00806,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,719.999823,21.8,7.71,-38.5,40,0.358,0.00922,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,739.998222,21.8,7.711,-38.6,40,0.378,0.01037,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,760.000432,21.7,7.712,-38.6,40.1,0.396,0.01152,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,779.998065,21.7,7.712,-38.6,40.1,0.412,0.01267,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,833.927884,21.7,7.71,-38.5,40.1,0.428,0.01382,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,878.949645,21.7,7.71,-38.5,40.2,0.448,0.01958,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,933.935142,21.7,7.71,-38.5,40.3,0.468,0.02649,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,978.977058,21.7,7.71,-38.5,40.3,0.488,0.0311,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,1033.942802,21.7,7.71,-38.5,40.3,0.508,0.03801,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,1078.968656,21.7,7.71,-38.5,40.3,0.528,0.04377,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,1138.983335,21.6,7.712,-38.6,40.3,0.548,0.05184,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,1198.981348,21.6,7.712,-38.6,40.4,3,0.0599,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,1253.94594,21.6,7.714,-38.7,40.4,3,0.10943,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,1298.976456,21.6,7.715,-38.8,40.4,3,0.14284,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
02/05/2019,1353.936194,21.6,7.717,-38.9,40.4,1,0.19352,7.72,0.08931,0.05299,0.07348,1.00023,450,20190502,O
