Date,Time_s,Temp_C,pH ,pH_mV,ch_2,Rate_mL_h,Volume_mL,Setpoint_pH,Mass_of_NaHCO3_g,Mass_of_Na2CO3_in_titrant_g,Mass_of_CaCl2_in_titrant_g,Mass_of_Seed_g,Mass_of_Solution_g,Key,Designation
14/05/2019,0,21.6,8.161,-62.6,7.1,0,0.55522,0,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,19.999419,21.6,8.154,-62.2,7.1,0.1,0.55522,0,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,39.999511,21.6,8.15,-62,7.1,0.1,0.55522,0,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,59.99928,21.6,8.148,-61.9,7.1,0.1,0.55522,0,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,79.997835,21.6,8.145,-61.7,7.1,0.1,0.55522,0,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,100.000161,21.6,8.143,-61.6,7.1,0.1,0.55522,0,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,119.999559,21.6,8.143,-61.6,7.1,0.1,0.55522,0,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,139.998248,21.6,8.143,-61.6,7.1,0.1,0.55522,0,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,160.000722,21.6,8.143,-61.6,7.1,1,0.55522,0,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,179.998894,21.6,8.143,-61.6,7.1,1,0.55522,0,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,199.99911,21.6,8.141,-61.5,7.1,0,0,0,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,220.001509,21.6,8.138,-61.3,7.1,1,0,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,239.998158,21.6,8.136,-61.2,7.1,1,0.00461,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,259.998287,21.5,8.136,-61.2,7.1,1,0.00922,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,279.999207,21.5,8.136,-61.2,7.1,1,0.01382,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,300.000624,21.5,8.135,-61.1,7.1,1,0.01843,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,319.999393,21.5,8.135,-61.1,7.1,1,0.02304,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,339.998415,21.5,8.135,-61.1,7.1,1,0.02765,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,360.000744,21.5,8.135,-61.1,7.1,1,0.03225,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,379.999197,21.5,8.135,-61.1,7.1,1,0.03686,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,399.997436,21.5,8.135,-61.1,7.1,1,0.04147,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,419.998456,21.5,8.135,-61.1,7.1,1,0.04608,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,439.998679,21.5,8.135,-61.1,7.1,1,0.05068,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,459.999896,21.5,8.135,-61.1,7.1,1,0.05529,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,480.001559,21.5,8.135,-61.1,7.1,1,0.0599,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,500.001283,21.5,8.135,-61.1,7.1,1,0.06451,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,520.000299,21.5,8.135,-61.1,7.1,1,0.06911,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,539.997817,21.5,8.135,-61.1,7,1,0.07372,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,560.00058,21.5,8.135,-61.1,7.1,1,0.07833,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,579.999185,21.5,8.135,-61.1,7.1,1,0.08294,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,600.000621,21.5,8.135,-61.1,7,1,0.08755,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,619.99879,21.5,8.135,-61.1,7,1,0.09215,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,639.997796,21.5,8.135,-61.1,7.1,1,0.09676,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,659.999305,21.5,8.135,-61.1,7,1,0.10137,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,680.000094,21.5,8.135,-61.1,7,1,0.10598,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,699.998793,21.5,8.135,-61.1,7,1,0.11058,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,719.999326,21.5,8.135,-61.1,7,1,0.11519,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,739.999592,21.4,8.135,-61.1,7,1,0.1198,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,760.000707,21.4,8.135,-61.1,7,1,0.12441,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,779.998555,21.4,8.135,-61.1,7,1,0.12901,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,799.999429,21.4,8.135,-61.1,7,1,0.13362,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,819.999127,21.4,8.135,-61.1,7,1,0.13823,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,839.999839,21.4,8.135,-61.1,7,1,0.14284,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,859.998973,21.4,8.132,-60.9,7,1,0.14744,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,879.99888,21.4,8.135,-61.1,7,1,0.15205,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
14/05/2019,899.999951,21.4,8.135,-61.1,7,1,0.15666,8.143,0.11614,0.05303,0.07358,1,450,20190514,O
