Date,Time_s,Temp_C,pH ,pH_mV,ch_2,Rate_mL_h,Volume_mL,Setpoint_pH,Mass_of_NaHCO3_g,Mass_of_Na2CO3_in_titrant_g,Mass_of_CaCl2_in_titrant_g,Mass_of_Seed_g,Mass_of_Solution_g,Key,Designation
01/05/2019,39.99956,21.2,7.828,-43.7,43.6,0,0,0,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,60.001226,21.2,7.828,-43.7,43.6,2.5,0,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,80.002867,21.2,7.828,-43.7,43.6,2.514,0.01224,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,100.001071,21.2,7.828,-43.7,43.6,2.528,0.02622,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,120.001051,21.2,7.828,-43.7,43.6,2.542,0.03846,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,139.998458,21.2,7.828,-43.7,43.6,2.556,0.05419,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,159.999792,21.2,7.828,-43.7,43.6,2.57,0.06643,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,180.003924,21.2,7.828,-43.7,43.6,2.584,0.08216,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,200.000485,21.2,7.828,-43.7,43.6,2.598,0.0944,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,220.000931,21.2,7.828,-43.7,43.6,2.612,0.11013,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,240.000256,21.2,7.828,-43.7,43.6,2.626,0.12237,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,260.000286,21.2,7.83,-43.8,43.6,2.64,0.1381,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,280.001517,21.2,7.83,-43.8,43.6,2.653,0.15034,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,299.99999,21.2,7.83,-43.8,43.6,2.666,0.16607,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,320.00095,21.2,7.83,-43.8,43.6,2.679,0.18006,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,340.000558,21.2,7.83,-43.8,43.6,2.692,0.19404,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,360.003147,21.2,7.83,-43.8,43.6,2.705,0.20803,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,380.001186,21.2,7.83,-43.8,43.6,2.718,0.22201,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,400.000902,21.2,7.83,-43.8,43.6,2.731,0.236,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,419.999587,21.2,7.83,-43.8,43.6,2.744,0.24998,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,440.00063,21.2,7.83,-43.8,43.6,2.757,0.26397,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,460.000721,21.2,7.832,-43.9,43.6,2.77,0.27795,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,480.000515,21.2,7.832,-43.9,43.6,2.782,0.29194,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,500.001112,21.2,7.83,-43.8,43.6,2.794,0.30592,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,520.002605,21.2,7.832,-43.9,43.6,2.807,0.31991,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,540.001055,21.2,7.832,-43.9,43.6,2.819,0.33389,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,560.000782,21.2,7.832,-43.9,43.6,2.831,0.34788,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,580.001936,21.2,7.832,-43.9,43.6,2.843,0.36361,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,600.000301,21.2,7.832,-43.9,43.6,2.855,0.37934,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,620.00314,21.2,7.832,-43.9,43.6,2.867,0.39508,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,640.003189,21.2,7.832,-43.9,43.6,2.879,0.41081,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,659.999576,21.2,7.832,-43.9,43.6,2.891,0.42654,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,680.003882,21.2,7.832,-43.9,43.6,2.903,0.44227,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,700.002161,21.2,7.832,-43.9,43.6,2.915,0.45801,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,720.002174,21.2,7.834,-44,43.6,2.927,0.47549,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,740.000557,21.2,7.834,-44,43.6,2.938,0.49122,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,760.002927,21.2,7.834,-44,43.6,2.949,0.50521,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,780.124152,21.2,7.834,-44,43.6,2.96,0.52269,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,799.999422,21.2,7.834,-44,43.6,2.971,0.53667,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,820.000009,21.2,7.835,-44.1,43.6,2.982,0.55415,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,840.001554,21.2,7.835,-44.1,43.6,2.9925,0.56989,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,860.000735,21.2,7.835,-44.1,43.6,3,0.58562,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,880.001959,21.2,7.835,-44.1,43.6,3,0.60135,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,900.000303,21.2,7.835,-44.1,43.6,3,0.61709,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
01/05/2019,919.999711,21.2,7.834,-44,43.6,3,0.63282,7.856,0.13927,0.05318,0.07358,1.00111,450,20190501,O
