Key,Date,Time_s,pH,Temp_C,Setpoint_pH,Volume_mL,Rate_mL_h,Mass_of_NaHCO3_g,Mass_of_Na2CO3_in_titrant_g,Mass_of_CaCl2_in_titrant_g,Mass_of_Seed_g,sol_mass,Designation,Raw_data
20191017,Thu Oct 17 09:59:56 2019,13.478271961212158,8.116,21.5,8.116, 0.01613,0.25,0.10525,0.02642,0.03678,1.00113,450,P0.5,"b'*IDN?\rE-3D01\r> E11224,2.10,10-17-2019 10:00:18,CH1,PH,ABCDE1234,ATC1,M100,8.116,pH,-64.9,mV,21.5,C,97.6,%,CAL_107,10-17-2019  9:51:00,OFF,12345ABCD (Manual)\rE11224,2.10,1'"
20191017,Thu Oct 17 10:00:21 2019,40.08588743209839,8.112,21.5,8.116, 0.01843,0.25,0.10525,0.02642,0.03678,1.00113,450,P0.5,"b'*IDN?\rE-3D01\r> E11224,2.10,10-17-2019 10:00:43,CH1,PH,ABCDE1234,ATC1,M100,8.112,pH,-64.7,mV,21.5,C,97.6,%,CAL_107,10-17-2019  9:51:00,OFF,12345ABCD (Manual)\rE11224,2.10,1'"
20191017,Thu Oct 17 10:00:51 2019,68.42528080940247,8.113,21.4,8.116, 0.02073,0.25,0.10525,0.02642,0.03678,1.00113,450,P0.5,"b'*IDN?\rE-3D01\r> E11224,2.10,10-17-2019 10:01:13,CH1,PH,ABCDE1234,ATC1,M100,8.113,pH,-64.7,mV,21.4,C,97.6,%,CAL_107,10-17-2019  9:51:00,OFF,12345ABCD (Manual)\rE11224,2.10,1'"
20191017,Thu Oct 17 10:01:21 2019,100.09716987609863,8.113,21.4,8.116, 0.02189,0.25,0.10525,0.02642,0.03678,1.00113,450,P0.5,"b'*IDN?\rE-3D01\r> E11224,2.10,10-17-2019 10:01:43,CH1,PH,ABCDE1234,ATC1,M100,8.113,pH,-64.7,mV,21.4,C,97.6,%,CAL_107,10-17-2019  9:51:00,OFF,12345ABCD (Manual)\rE11224,2.10,1'"
20191017,Thu Oct 17 10:01:51 2019,128.4779236316681,8.113,21.4,8.116, 0.02419,0.25,0.10525,0.02642,0.03678,1.00113,450,P0.5,"b'*IDN?\rE-3D01\r> E11224,2.10,10-17-2019 10:02:13,CH1,PH,ABCDE1234,ATC1,M100,8.113,pH,-64.7,mV,21.4,C,97.6,%,CAL_107,10-17-2019  9:51:00,OFF,12345ABCD (Manual)\rE11224,2.10,1'"
20191017,Thu Oct 17 10:02:21 2019,160.02798795700073,8.113,21.4,8.116, 0.02649,0.25,0.10525,0.02642,0.03678,1.00113,450,P0.5,"b'*IDN?\rE-3D01\r> E11224,2.10,10-17-2019 10:02:43,CH1,PH,ABCDE1234,ATC1,M100,8.113,pH,-64.7,mV,21.4,C,97.6,%,CAL_107,10-17-2019  9:51:00,OFF,12345ABCD (Manual)\rE11224,2.10,1'"
20191017,Thu Oct 17 10:02:51 2019,188.523752450943,8.113,21.4,8.116, 0.02880,0.25,0.10525,0.02642,0.03678,1.00113,450,P0.5,"b'*IDN?\rE-3D01\r> E11224,2.10,10-17-2019 10:03:13,CH1,PH,ABCDE1234,ATC1,M100,8.113,pH,-64.7,mV,21.4,C,97.6,%,CAL_107,10-17-2019  9:51:00,OFF,12345ABCD (Manual)\rE11224,2.10,1'"
20191017,Thu Oct 17 10:03:21 2019,220.05141949653625,8.113,21.4,8.116, 0.03110,0.25,0.10525,0.02642,0.03678,1.00113,450,P0.5,"b'*IDN?\rE-3D01\r> E11224,2.10,10-17-2019 10:03:43,CH1,PH,ABCDE1234,ATC1,M100,8.113,pH,-64.7,mV,21.4,C,97.6,%,CAL_107,10-17-2019  9:51:00,OFF,12345ABCD (Manual)\rE11224,2.10,1'"
20191017,Thu Oct 17 10:03:51 2019,248.43052983283997,8.111,21.4,8.116, 0.03225,0.25,0.10525,0.02642,0.03678,1.00113,450,P0.5,"b'*IDN?\rE-3D01\r> E11224,2.10,10-17-2019 10:04:13,CH1,PH,ABCDE1234,ATC1,M100,8.111,pH,-64.6,mV,21.4,C,97.6,%,CAL_107,10-17-2019  9:51:00,OFF,12345ABCD (Manual)\rE11224,2.10,1'"
20191017,Thu Oct 17 10:04:21 2019,280.1255135536194,8.113,21.4,8.116, 0.03456,0.25,0.10525,0.02642,0.03678,1.00113,450,P0.5,"b'*IDN?\rE-3D01\r> E11224,2.10,10-17-2019 10:04:43,CH1,PH,ABCDE1234,ATC1,M100,8.113,pH,-64.7,mV,21.4,C,97.6,%,CAL_107,10-17-2019  9:51:00,OFF,12345ABCD (Manual)\rE11224,2.10,1'"
20191017,Thu Oct 17 10:04:51 2019,308.4446392059326,8.111,21.3,8.116, 0.03686,0.25,0.10525,0.02642,0.03678,1.00113,450,P0.5,"b'*IDN?\rE-3D01\r> E11224,2.10,10-17-2019 10:05:13,CH1,PH,ABCDE1234,ATC1,M100,8.111,pH,-64.6,mV,21.3,C,97.6,%,CAL_107,10-17-2019  9:51:00,OFF,12345ABCD (Manual)\rE11224,2.10,1'"
